doc_id,title,year,doi,source,keywords,cluster_id,tema_auto
74e4bbf12f47,"Atmos. Chem. Phys., 12, 3659–3675, 2012www.atmos-chem-phys.net/12/3659/2012/doi:10.5194/acp-12-3659-2012© Author(s) 2012. CC Attribution 3.0 License.",2012.0,10.5194/acp-12-3659-2012,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
184c3d5af70b,*Corresponding Author: ageymen@erciyes.edu.tr,2016.0,10.18038/btda.84861,rclone_drive,Geographical information system; Remote sensing; Urbanization; Water basin,2,"Tema 2: climate, change, land, water"
aa550e538cfc,3D Geographic Network Displays,1996.0,,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
1bdd60d27e1d,"CLIMATE RESEARCHClim ResVol. 52: 97–113, 2012doi: 10.3354/cr01039Published March 22",2012.0,10.3354/cr01039,rclone_drive,Dust; Aerosol; Sahel; West Africa; Regional climate; Radiative effect; Single,4,"Tema 4: aerosol, ocean, ozone, surface"
649b4b6b4333,REVIEWOpen Access,2010.0,10.1186/s40663-017-0100-4,rclone_drive,Himalayan ecosystem; Climate change; New strategies; High altitude; New observational studies,1,"Tema 1: species, marine, different, ecosystem"
db94e67c188f,"Atmos. Chem. Phys., 18, 9091–9106, 2018https://doi.org/10.5194/acp-18-9091-2018© Author(s) 2018. This work is distributed underthe Creative Commons Attribution 4.0 License.",2018.0,10.5194/acp-18-9091-2018,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
4fe842080c56,"Remote Sens. 2015, 7, 9269-9291; doi:10.3390/rs70709269",2015.0,10.3390/rs70709269,rclone_drive,atmosphere; model; solar radiation; surface solar irradiance,4,"Tema 4: aerosol, ocean, ozone, surface"
e5b9a5589902,U.S. Department of the InteriorU.S. Geological Survey,2022.0,,rclone_drive,,5,"Tema 5: lake, ozone, yellowstone, basin"
6969f81bc780,"Atmos. Chem. Phys., 23, 15253–15267, 2023https://doi.org/10.5194/acp-23-15253-2023© Author(s) 2023. This work is distributed underthe Creative Commons Attribution 4.0 License.",2023.0,10.5194/acp-23-15253-2023,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
a501ac367dc0,"The Journal of Agriculture and Environment Vol:13, Jun.2012 ... .............Technical paper",2012.0,,rclone_drive,Agriculture; climate-change; commercialization; crop-yield; food-security; Nepal,0,"Tema 0: research, environmental, systems, change"
3b02dae59553,"Atmos. Chem. Phys., 13, 15–30, 2013www.atmos-chem-phys.net/13/15/2013/doi:10.5194/acp-13-15-2013© Author(s) 2013. CC Attribution 3.0 License.",2013.0,10.5194/acp-13-15-2013,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
ae1c793b63f8,ReviewChallenges and Opportunities of Social Media Datafor Socio-Environmental Systems Research,2019.0,10.3390/land8070107,rclone_drive,social media; socio-ecological systems; human-environment interactions; geospatial,0,"Tema 0: research, environmental, systems, change"
0bda4e88ce67,REVIEWpublished: 30 November 2021doi: 10.3389/fmars.2021.798534,2021.0,10.3389/fmars.2021.798534,rclone_drive,plastic,0,"Tema 0: research, environmental, systems, change"
54c28f7106f4,"Atmosphere 2015, 6, 88-147; doi:10.3390/atmos6010088",2015.0,10.3390/atmos6010088,rclone_drive,parameterization; convection; subgrid scales,0,"Tema 0: research, environmental, systems, change"
f837aada1c57,"Pure Appl. Chem., Vol. 75, Nos. 11–12, pp. 2275–2286, 2003.© 2003 IUPAC",2003.0,,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
b79a8e377401,"architecture&ENVIRONMENT Vol. 13, No.2, Oct 2014: 111-122",2014.0,,rclone_drive,reinterpretation; sustainability; Javanese culture,0,"Tema 0: research, environmental, systems, change"
aa10aa53929d,Kru¨ppel-Like Factor 8 (KLF8) Is Expressed in Gliomas ofDifferent WHO Grades and Is Essential for Tumor CellProliferation,2012.0,10.1371/journal.pone.0030429,rclone_drive,,1,"Tema 1: species, marine, different, ecosystem"
f93b9079eae2,"Impact of Climate Change on Heat-Related Mortality in Jiangsu Province, China",2016.0,10.1016/j.envpol.2017.02.011.,rclone_drive,Heat; Mortality; Projection; Climate change,2,"Tema 2: climate, change, land, water"
5eeb0ff9d127,09/28/2007NASA Johnson Space Flight Center58th IAC / Hyderabad / Page 1,2007.0,,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
2552a6b84db7,"212SOLA, 2020, Vol. 16, 212−219, doi:10.2151/sola.2020-036",2020.0,10.2151/sola.2020-036,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
df7f18a229e1,PRIMARY RESEARCH PAPER,2012.0,10.1007/s10750-012-1242-6),rclone_drive,Global extent  River drainage basin ,1,"Tema 1: species, marine, different, ecosystem"
d5d534bbfec8,Worldwide Typology of Nearshore Coastal Systems:Defining the Estuarine Filter of River Inputs to the Oceans,2009.0,10.1007/s12237-011-9381-y),rclone_drive,Coastal zone . Typology. Global assessment,2,"Tema 2: climate, change, land, water"
b0812c55f25d,Please note that this is an author-produced PDF of an article accepted for publication following peer review. The definitive publisher-authenticated version is available on the publisher Web site,2006.0,10.1016/j.ecolmodel.2005.07.037,rclone_drive,Watershed model; Lagoon model; Integrated modelling; Primary production; Thau lagoon,2,"Tema 2: climate, change, land, water"
08dd0faa47db,RESEARCH ARTICLEIdentification of novel modulators of aschistosome transient receptor potentialchannel targeted by praziquantel,2021.0,10.1371/journal.pntd.0009898,rclone_drive,,1,"Tema 1: species, marine, different, ecosystem"
